stop_id,stop_name,stop_lat,stop_lon
28585,Madapatna,12.93458,77.36095
33726,Madapatna,12.9348,77.36086
35119,Madapatna,12.77262,77.64815
35296,Madapatna,12.77244,77.64824
28587,Madapatna Cross,12.93675,77.37285
33727,Madapatna Cross,12.93681,77.37286
28591,Madappanahalli,12.92242,77.8104
33728,Madappanahalli,13.15405,77.54059
33729,Madappanahalli,13.15408,77.54055
33730,Madappanahalli,12.92246,77.81039
28592,Madappanahalli Cross,12.91766,77.79626
35159,Madappanahalli Cross,12.91773,77.79622
28594,Madapura,12.7654,77.32076
38572,Madapura,12.76542,77.32077
28596,Madapura Cross Bidadi,12.76177,77.32802
33732,Madapura Cross Bidadi,12.76206,77.32775
28597,Madarasa School,12.88054,77.45935
31391,Madarasa School 1,12.88017,77.45942
28598,Madavara,13.05665,77.47343
39370,Madavara Metro Station,13.05725,77.47269
22233,Madavara NICE Road,13.05692,77.47395
28601,Madavara Village,13.05296,77.47231
21563,Madhavan Park,12.93644,77.58392
24044,Madhavan Park,12.93675,77.58308
33735,Madhugirihalli,13.12789,77.50725
24201,Madhura Nagara,12.94117,77.76421
24209,Madhura Nagara,12.94124,77.76427
23478,Madhura Nagara Hostel,12.93956,77.75959
24200,Madhura Nagara Hostel,12.9398,77.76027
24210,Madhura Nagara Hostel,12.93975,77.76039
20972,Madhure Village,13.20205,77.45696
28602,Madhure Village,13.20216,77.45699
39763,Madigondanahalli,13.06965,77.20895
20973,Madivala,12.92166,77.62146
20974,Madivala,12.92023,77.62066
22235,Madivala Masidi,12.92479,77.61852
28607,Madugirihalli,13.12793,77.50724
28611,Magadi,12.95484,77.22693
38800,Magadi Road Metro Station,12.97562,77.55479
38801,Magadi Road Metro Station,12.97553,77.55486
20975,Magadi Road TollGate,12.97458,77.54876
20976,Magadi Road TollGate,12.97462,77.54898
22236,Magadi Road TollGate,12.97537,77.54845
23481,Magadi Road TollGate,12.97516,77.54862
28613,Magadi Road Tollgate,12.97381,77.54983
28614,Mahadeshwara Badavane,12.78938,77.66007
28617,Mahadeshwara Nagara,12.90784,77.61076
33738,Mahadeshwara Nagara,12.9921,77.49432
33739,Mahadeshwara Nagara,12.99201,77.49425
35353,Mahadeshwara Nagara,12.90779,77.61094
28619,Mahadeva Kodigehalli,13.14407,77.70282
33740,Mahadeva Kodigehalli,13.14409,77.70276
28621,Mahadevana Doddy Colony,12.74262,77.60487
33741,Mahadevana Doddy Colony,12.74267,77.60468
28623,Mahadevanana Doddy,12.74517,77.60608
33742,Mahadevanana Doddy,12.74515,77.6062
22237,Mahadevapura,12.99737,77.69066
22238,Mahadevapura,12.99716,77.69065
28627,Mahadevapura,13.06666,77.31961
33743,Mahadevapura,13.06629,77.31955
33744,Mahadevapura,13.06645,77.31958
20977,Mahadevapura Ring Road,12.98823,77.6895
20978,Mahadevapura Ring Road,12.98868,77.68904
23398,Mahal Chowdadenahalli,12.87216,77.80844
23416,Mahal Chowdadenahalli,12.87217,77.80852
39826,Mahalakshmi Bakery Banashankari 9th Block,12.8907,77.48894
39827,Mahalakshmi Bakery Banashankari 9th Block,12.89053,77.48888
24096,Mahalakshmi Layout,13.01199,77.54408
24191,Mahalakshmi Layout,13.01198,77.544
20979,Mahalakshmi Layout Entrance,13.00736,77.54879
20980,Mahalakshmi Layout Entrance,13.00782,77.54867
24188,Mahalakshmi Layout Entrance,13.00779,77.548
28630,Mahanthalingapura,12.76664,77.61854
33745,Mahanthalingapura,12.76681,77.61844
23938,Maharaja Signal,12.93455,77.62968
23943,Maharaja Signal,12.93434,77.62965
20981,Maharani College,12.97703,77.5858
20982,Maharani College,12.97903,77.5849
20983,Maharani College,12.97697,77.58567
20985,Maharani College,12.97907,77.58511
28631,Mahathma Vidhyalaya Muttanalluru,12.83194,77.73502
39484,Mahatma Gandhi Layout,13.10061,77.55388
39485,Mahatma Gandhi Layout,13.10062,77.55391
28633,Mahesh Medicals,12.91403,77.54998
33746,Mahesh Medicals,12.91409,77.55
22239,Mahila Seva Samaja,12.95362,77.57379
22240,Mahila Seva Samaja,12.95334,77.5736
28635,Mahimapura Temple,13.17861,77.29379
33747,Mahimapura Temple,13.17844,77.29368
33890,Majara Hosahalli,13.25444,77.53467
33891,Majara Hosahalli Cross,13.2485,77.54812
22241,Makali,13.0658,77.45363
33748,Makali,13.06564,77.45325
33750,Makali,13.06555,77.45442
33752,Makali Cross,13.06706,77.45182
