route_id,route_short_name,route_long_name,route_type
V-MF1C BSK-KRPMS,V-MF1C,Banashankari Bus Station ⇔ KR Pura Metro Station,3
500-CK,500-CK,Banashankari Bus Station ⇔ Kadugodi Bus Station,3
V-500CK,V-500CK,Banashankari Bus Station ⇔ Kadugodi Bus Station,3
211-AC,211-AC,Banashankari Bus Station ⇔ Kaggalipura,3
2 KBS-JPMS-BSK,2,Banashankari Bus Station ⇔ Kempegowda Bus Station,3
KIA-5,KIA-5,Banashankari Bus Station ⇔ Kempegowda International Airport,3
201 BSK-KSP,201 BSK-KSP,Banashankari Bus Station ⇔ Kempegowda Swimming Pool,3
201 BSK-KVASC,201,Banashankari Bus Station ⇔ Kendriya Vidyalaya ASC Center,3
212-M,212-M,Banashankari Bus Station ⇔ Kengeri Bus Station,3
MF-18,MF-18,Banashankari Bus Station ⇔ Koli Farm Gate,3
MF-21,MF-21,Banashankari Bus Station ⇔ Kuvempunagara ( BTM Layout),3
211-AA,211-AA,Banashankari Bus Station ⇔ Mallasandra Poorvankara Apartment,3
BSK-NRC,BSK-NRC,Banashankari Bus Station ⇔ NR Colony,3
212-CA,212-CA,Banashankari Bus Station ⇔ Nagegowdanapalya,3
600-F BSK-OMC,600-F,Banashankari Bus Station ⇔ Oxford Medical College Yadavanahalli,3
210-Z BSK-RMLO,210-Z,Banashankari Bus Station ⇔ Ramanjaneya Layout Chikkallasandra,3
367 BSK-RSD,367 BSK-RSD,Banashankari Bus Station ⇔ Ramasandra,3
211-BA,211-BA,Banashankari Bus Station ⇔ Somanahalli,3
410-F BSK-SSPC,410-F,Banashankari Bus Station ⇔ Sri Sai Packaging Company,3
211-AD,211-AD,Banashankari Bus Station ⇔ Thalagattapura,3
600-CA BSK-TTH,600-CA,Banashankari Bus Station ⇔ Thattanahalli,3
500-L,500-L,Banashankari Bus Station ⇔ Tin Factory,3
211 BSK-VLS,211 BSK-VLS,Banashankari Bus Station ⇔ Valley School Kanakapura Road,3
410-FA,410-FA,Banashankari Bus Station ⇔ Yeshawanthapura Bus Station,3
357 BDP-D38G,357 BDP-D38G,Bandapura ⇔ Depot-38 Gate,3
410-FA BMBS-CSB,410-FA,Bande Maramma Bus Station ⇔ Central Silk Board,3
BMBS-JHC,BMBS-JHC,Bande Maramma Bus Station ⇔ Jalahalli Cross,3
252-L,252-L,Bandi Reddy Circle ⇔ Peenya 2nd Stage,3
225-G BGPN-BEML5,225-G,Bangarappa Nagara ⇔ BEML Layout 5th stage,3
225-P BRN-JNK-KMT,225-P,Bangarappa Nagara ⇔ KR Market (Kalasipalya),3
225-G KMT FLY,225-G,Bangarappa Nagara ⇔ Kempegowda Bus Station,3
365-Z BGT-MMDH,365-Z,Bannerughatta Circle ⇔ M Medahalli,3
370-A BGT-UJPD,370-A,Bannerughatta Circle ⇔ UjinappanaDoddy,3
BGT-UJPD,BGT-UJPD,Bannerughatta Circle ⇔ UjinappanaDoddy,3
365J-BNZ-JNN,365J-BNZ-JNN,Bannerughatta National Park ⇔ 9th Block Jayanagara (40th Cross),3
226-C BNKP-KMT,226-C,Bannikuppe ⇔ KR Market (Kalasipalya),3
231-B BNKP-KBS,231-B,Bannikuppe ⇔ Kempegowda Bus Station,3
285-MG KBS-BMG,285-MG,Bannimangala ⇔ Kempegowda Bus Station,3
347-H,347-H,Basapura Electronic City ⇔ Kempegowda Bus Station,3
BSGK-KWS,BSGK-KWS,Basava Gangotri Samsthe ⇔ RWB Gate Kengeri (Kengeri Work shop),3
235-K BSN-DBT,235-K,Basavanagara Kengeri ⇔ Dodda Basti,3
K-3,K-3,Basaveshwaranagara New Bus Stand ⇔ CPWD Quarters HSR Layout,3
88-A BSN-CVN,88-A BSN-CVN,Basaveshwaranagara New Bus Stand ⇔ Cauvery Nagara,3
NICE-6,NICE-6,Basaveshwaranagara New Bus Stand ⇔ Electronic City Wipro Main Gate,3
88-A BSN-GPO,88-A BSN-GPO,Basaveshwaranagara New Bus Stand ⇔ GPO,3
88-B BSN-VSD-KBS,88-B,Basaveshwaranagara New Bus Stand ⇔ Kempegowda Bus Station,3
K-2 BSN-MRBS,K-2 BSN-MRBS,Basaveshwaranagara New Bus Stand ⇔ Mysore Road Bus Station,3
88-B BSNB-SRPS,88-B,Basaveshwaranagara New Bus Stand ⇔ Sriramapura Police Station,3
